kategorie,název produktu,ho2dnota,měna,zhodnocení,společnost
"commodities",Bavlna,0.82,USD,,
"commodities",Cukr,0.16,USD,,
"commodities",Hliník,"1,993.00",USD,,
"commodities",Káva,123.00,USD,,
"commodities",Kukuřice,503.00,USD,,
"commodities",Měď,"7,985.00",USD,,
"commodities",Nikl,"18,096.00",USD,,
"commodities",Palladium,"2,355.00",USD,,
"commodities",Platina,"1,104.00",USD,,
"commodities",Pšenice,636.00,USD,,
"commodities",Ropa (Brent),55.00,USD,,
"commodities",Ropa (WTI),52.00,USD,,
"commodities",Stříbro,25.00,USD,,
"commodities",Zemní plyn,2.00,USD,,
"commodities",Zinek,"2,692.00",USD,,
"commodities",Zlato,"1,824.00",USD,,
"cryptos",Bitcoin,"31,908.00",USD,,Coinmate
"cryptos",Ethereum,"1,348.00",USD,,Coinmate
"cryptos",Tether,1.00,USD,,Coinmate
"cryptos",Polkadot,17.67,USD,,Coinmate
"cryptos",Ripple,0.27,USD,,Coinmate
"cryptos",Cardano,0.35,USD,,Coinmate
"cryptos",Chainlink,24.50,USD,,Coinmate
"cryptos",Litecoin,138.00,USD,,Coinmate
"cryptos",Bitcoin Cash,431.00,USD,,Coinmate
"cryptos",Binance Coin,41.00,USD,,Coinmate
"cryptos",Stellar Lumens,0.27,USD,,Coinmate
"cryptos",Wrapped Bitcoin,"31,793.00",USD,,Coinmate
"cryptos",Bitcoin SV,173.10,USD,,Coinmate
"cryptos",USD Coin,1.00,USD,,Coinmate
"cryptos",EOS,2.70,USD,,Coinmate
"cryptos",Monero,136.70,USD,,Coinmate
"cryptos",Uniswap,11.54,USD,,Coinmate
"cryptos",Tezos,3.05,USD,,Coinmate
"cryptos",Cosmos,8.16,USD,,Coinmate
"cryptos",Tron,0.03,USD,,Coinmate
"bonds","ALPHA QUEST 4,5/21","100,000.00",CZK,"4,50 %",J&T Banka
"bonds","APS FINAN. 5,00/23","6,479.00",CZK,"3,80 %",J&T Banka
"bonds","AQUILA RAF 5,00/23","10,000.00",CZK,"4,39 %",J&T Banka
"bonds","AQUILA RAF 5,25/22","50,000.00",CZK,"3,82 %",J&T Banka
"bonds","Auctor 5,00/2025","1,000.00",EUR,"5,00 %",J&T Banka
"bonds","EMG 4,90/2024","1,000.00",EUR,"4,73 %",J&T Banka
"bonds","EN.-PRO GF 6,50/23","10,000.00",CZK,"4,18 %",J&T Banka
"bonds","EPH 4,50/25","10,000.00",CZK,"4,10 %",J&T Banka
"bonds","EUROVEA 4,50 /2022","1,000.00",EUR,"3,53 %",J&T Banka
"bonds","Fidurock 5,60/24","10,000.00",CZK,"4,22 %",J&T Banka
"bonds","FINEP HLB 5,00/23","10,000.00",CZK,"3,48 %",J&T Banka
"bonds","HEUREKA 5,25/25","10,000.00",CZK,"4,76 %",J&T Banka
"bonds","J&T E.F.C. 4,75/21","3,000,000.00",CZK,"1,98 %",J&T Banka
"bonds","J&T EF IV 5,60/22","3,000,000.00",CZK,"5,37 %",J&T Banka
"bonds",JOJ Media House 0/2021,"1,000.00",EUR,"4,19 %",J&T Banka
"bonds","JTEF CZK II 5,25/2025","3,000,000.00",CZK,"5,46 %",J&T Banka
"bonds","JTEF CZKI 5,00/2023","3,000,000.00",CZK,"5,06 %",J&T Banka
"bonds","JTFG VIII 4,00/22","3,000,000.00",CZK,"3,65 %",J&T Banka
"bonds","JTFG X 4,75/24","3,000,000.00",CZK,"4,75 %",J&T Banka
"bonds","JTRE FIN.3 0,00/24","10,000.00",CZK,"6,36 %",J&T Banka
"bonds","JTSEC 5,00 / 2023","3,000,000.00",CZK,"4,66 %",J&T Banka
"bonds","LIB. O. M. 5,30/23","10,000.00",CZK,"5,50 %",J&T Banka
"bonds","NATLAND R. 5,47 /24","10,000.00",CZK,"4,87 %",J&T Banka
"bonds","NUPEH CZ 5,90/25","10,000.00",CZK,"5,74 %",J&T Banka
"bonds","PSG 5,25/2023","10,000.00",CZK,"3,80 %",J&T Banka
"bonds","ROHLIK FIN. 6,60/23","10,000.00",CZK,"3,22 %",J&T Banka
"bonds","SAVARIN 0,00/26","50,000.00",CZK,"6,98 %",J&T Banka
"bonds","SAZKA GR. 5,20/24","10,000.00",CZK,"4,05 %",J&T Banka
"bonds","SG 4,00/2022","1,000.00",EUR,"2,90 %",J&T Banka
"bonds","TMR F. CR 4,50/22","30,000.00",CZK,"5,15 %",J&T Banka
"term-accounts",Termínovaný vklad,,CZK,3 %,"Akcenta, spořitelní a úvěrní družstvo"
"term-accounts",Termínovaný vklad,,CZK,"2,10 %","Artesa, spořitelní družstvo (STANDARD)"
"term-accounts",Termínovaný vklad,,CZK,"1,85 %",Banka CREDITAS
"term-accounts",Termínovaný vklad,,CZK,"0,50 %",Equa bank
"term-accounts",Termínovaný vklad,,CZK,"0,70 %",Expobank
"term-accounts",Termínovaný vklad,,CZK,"0,35 %",Fio banka
"term-accounts",Termínovaný vklad,,CZK,"1,80 %",J&T Banka
"term-accounts",Termínovaný vklad,,CZK,"0,01 %",Komerční banka
"term-accounts",Termínovaný vklad,,CZK,"0,30 %",Moneta Money Bank
"term-accounts",Termínovaný vklad,,CZK,"2,60 %",NEY spořitelní družstvo
"term-accounts",Termínovaný vklad,,CZK,"0,60 %",Oberbank AG
"term-accounts",Termínovaný vklad,,CZK,"0,60 %","Poštová banka, pobočka ČR"
"term-accounts",Termínovaný vklad,,CZK,"0,05 %",Poštovní spořitelna
"term-accounts",Termínovaný vklad,,CZK,"0,01 %",Raiffeisenbank
